		run1	run2	run3	run4	run5	run6
gmm_d64_K5.txt	Enzyme/C	0	0	0	0	0	0
gmm_d20_K50.txt	LAGrad	0	0	0	0	0	0
gmm_d20_K50.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d20_K50.txt	Enzyme/C	0	0	0	0	0	0
gmm_d10_K200.txt	LAGrad	0	0	0	0	0	0
gmm_d10_K200.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d10_K200.txt	Enzyme/C	0	0	0	0	0	0
gmm_d32_K25.txt	LAGrad	0	0	0	0	0	0
gmm_d32_K25.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d32_K25.txt	Enzyme/C	0	0	0	0	0	0
gmm_d64_K10.txt	LAGrad	0	0	0	0	0	0
gmm_d64_K10.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d64_K10.txt	Enzyme/C	0	0	0	0	0	0
gmm_d20_K100.txt	LAGrad	0	0	0	0	0	0
gmm_d20_K100.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d20_K100.txt	Enzyme/C	0	0	0	0	0	0
gmm_d32_K50.txt	LAGrad	0	0	0	0	0	0
gmm_d32_K50.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d32_K50.txt	Enzyme/C	0	0	0	0	0	0
gmm_d128_K5.txt	LAGrad	0	0	0	0	0	0
gmm_d128_K5.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d128_K5.txt	Enzyme/C	0	0	0	0	0	0
gmm_d20_K200.txt	LAGrad	0	0	0	0	0	0
gmm_d20_K200.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d20_K200.txt	Enzyme/C	0	0	0	0	0	0
gmm_d64_K25.txt	LAGrad	0	0	0	0	0	0
gmm_d64_K25.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d64_K25.txt	Enzyme/C	0	0	0	0	0	0
gmm_d32_K100.txt	LAGrad	0	0	0	0	0	0
gmm_d32_K100.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d32_K100.txt	Enzyme/C	0	0	0	0	0	0
gmm_d128_K10.txt	LAGrad	0	0	0	0	0	0
gmm_d128_K10.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d128_K10.txt	Enzyme/C	0	0	0	0	0	0
gmm_d64_K50.txt	LAGrad	0	0	0	0	0	0
gmm_d64_K50.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d64_K50.txt	Enzyme/C	0	0	0	0	0	0
gmm_d32_K200.txt	LAGrad	0	0	0	0	0	0
gmm_d32_K200.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d32_K200.txt	Enzyme/C	0	0	0	0	0	0
gmm_d128_K25.txt	LAGrad	0	0	0	0	0	0
gmm_d128_K25.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d128_K25.txt	Enzyme/C	0	0	0	0	0	0
gmm_d64_K100.txt	LAGrad	0	0	0	0	0	0
gmm_d64_K100.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d64_K100.txt	Enzyme/C	0	0	0	0	0	0
gmm_d128_K50.txt	LAGrad	0	0	0	0	0	0
gmm_d128_K50.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d128_K50.txt	Enzyme/C	0	0	0	0	0	0
gmm_d64_K200.txt	LAGrad	0	0	0	0	0	0
gmm_d64_K200.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d64_K200.txt	Enzyme/C	0	0	0	0	0	0
gmm_d128_K100.txt	LAGrad	0	0	0	0	0	0
gmm_d128_K100.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d128_K100.txt	Enzyme/C	0	0	0	0	0	0
gmm_d128_K200.txt	LAGrad	0	0	0	0	0	0
gmm_d128_K200.txt	Enzyme/MLIR	0	0	0	0	0	0
gmm_d128_K200.txt	Enzyme/C	0	0	0	0	0	0
